date,consensus_mom
"Jul 16, 2013",0.3
"Jun 18, 2013",0.2
"May 16, 2013",-0.2
"Apr 16, 2013",0.1
"Mar 15, 2013",0.5
"Feb 21, 2013",0.1
"Jan 16, 2013",0.0
"Dec 14, 2012",-0.2
"Nov 15, 2012",0.1
"Oct 16, 2012",0.5
"Sep 14, 2012",0.5
"Aug 15, 2012",0.2
"Jul 17, 2012",-0.1
"Jun 14, 2012",-0.2
"May 15, 2012",0.1
"Apr 13, 2012",0.3
"Mar 16, 2012",0.4
"Feb 17, 2012",0.3
"Jan 19, 2012",0.2
"Dec 16, 2011",0.1
"Nov 16, 2011",0.0
"Oct 19, 2011",0.3
"Sep 15, 2011",0.2
"Aug 18, 2011",0.2
"Jul 15, 2011",-0.1
"Jun 15, 2011",0.1
"May 13, 2011",0.4
"Apr 15, 2011",0.5
"Mar 17, 2011",0.4
"Feb 17, 2011",0.3
"Jan 14, 2011",0.4
"Dec 15, 2010",0.2
"Nov 17, 2010",0.3
"Oct 15, 2010",0.2
"Sep 17, 2010",0.2
"Aug 13, 2010",0.2
"Jul 16, 2010",0.1
"Jun 17, 2010",-0.2
"May 19, 2010",0.2
"Apr 14, 2010",0.1
"Mar 18, 2010",0.1
"Feb 19, 2010",0.3
"Jan 15, 2010",0.2
"Dec 16, 2009",0.4
"Nov 18, 2009",0.2
"Oct 15, 2009",0.2
"Sep 16, 2009",0.4
"Aug 14, 2009",0.0
"Jul 15, 2009",0.6
"Jun 17, 2009",0.3
"May 15, 2009",0.0
"Apr 15, 2009",0.1
"Mar 18, 2009",0.3
"Feb 20, 2009",0.2
"Jan 16, 2009",-0.9
"Dec 16, 2008",-1.2
"Nov 19, 2008",-0.8
"Oct 16, 2008",0.0
"Sep 16, 2008",0.0
"Aug 14, 2008",0.4
"Jul 16, 2008",0.7
"Jun 13, 2008",0.5
"May 14, 2008",0.3
"Apr 16, 2008",0.3
"Mar 14, 2008",0.3
